federal_account_code,account_title,short_account_title,agency_identifier,main_account_code,managing_agency,managing_agency_acronym,parent_agency_toptier_code,bureau_name,bureau_slug,account_id,budgetary_resources_fy2026
012-5635,"Pima Agriculture Cotton Trust Fund, Farm Service Agency, Agriculture","Pima Agriculture Cotton Trust Fund, Farm Service Agency, Agriculture",012,5635,Department of Agriculture,USDA,012,Farm Service Agency,farm-service-agency,3615,17039304.65
012-5636,"Agriculture Wool Apparel Manufacturers Trust Fund, Farm Service Agency, Agriculture","Agriculture Wool Apparel Manufacturers Trust Fund, Farm Service Agency, Agriculture",012,5636,Department of Agriculture,USDA,012,Farm Service Agency,farm-service-agency,3616,33318225.75
012-5644,"Recreation Residence Program, Forest Service, Agriculture","Recreation Residence Program, Forest Service, Agriculture",012,5644,Department of Agriculture,USDA,012,Forest Service,forest-service,7005,64421140.41
012-5716,"National Parks and Public Land Legacy Restoration Fund, Forest Service, Agriculture","National Parks and Public Land Legacy Restoration Fund, Forest Service, Agriculture",012,5716,Department of Agriculture,USDA,012,Forest Service,forest-service,6353,675227017.98
012-5896,"Payments to Counties, National Grasslands, Forest Service,  Agriculture","Payments to Counties, National Grasslands, Forest Service,  Agriculture",012,5896,Department of Agriculture,USDA,012,Forest Service,forest-service,3617,72007046.79
012-8015,"Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture","Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",012,8015,Department of Agriculture,USDA,012,Agricultural Marketing Service,agricultural-marketing-service,3637,423149972.12
012-8028,"Cooperative Work, Forest Service,  Agriculture","Cooperative Work, Forest Service,  Agriculture",012,8028,Department of Agriculture,USDA,012,Forest Service,forest-service,3638,506784817.34
012-8034,"Donations for Forest and Rangeland Research, Forest Service, Agriculture","Donations for Forest and Rangeland Research, Forest Service, Agriculture",012,8034,Department of Agriculture,USDA,012,Forest Service,forest-service,3639,14558.96
012-8039,"Land Between the Lakes Trust Fund, Forest Service,  Agriculture","Land Between the Lakes Trust Fund, Forest Service,  Agriculture",012,8039,Department of Agriculture,USDA,012,Forest Service,forest-service,3640,6968992.69
012-8046,"Reforestation Trust Fund, Forest Service, Agriculture","Reforestation Trust Fund, Forest Service, Agriculture",012,8046,Department of Agriculture,USDA,012,Forest Service,forest-service,3641,497370167.03
012-8100,"Wool Research, Development and Promotion Trust Fund, Agricultural Marketing Service, Agriculture","Wool Research, Development and Promotion Trust Fund, Agricultural Marketing Service, Agriculture",012,8100,Department of Agriculture,USDA,012,Agricultural Marketing Service,agricultural-marketing-service,3642,4371750.0
012-8137,"Expenses and Refunds, Inspection of Farm Products, Food Safety and Inspection Service, Agriculture","Expenses and Refunds, Inspection of Farm Products, Food Safety and Inspection Service, Agriculture",012,8137,Department of Agriculture,USDA,012,Food Safety and Inspection Service,food-safety-and-inspection-service,3643,14387063.6
012-8161,"Tobacco Trust Fund, Commodity Credit Corporation, Agriculture","Tobacco Trust Fund, Commodity Credit Corporation, Agriculture",012,8161,Department of Agriculture,USDA,012,Farm Service Agency,farm-service-agency,3644,8529599.0
012-8203,"Gifts and Bequests, Agriculture","Gifts and Bequests, Agriculture",012,8203,Department of Agriculture,USDA,012,Office of the Secretary,office-of-the-secretary,3645,4447028.26
012-8210,"Miscellaneous Contributed Funds, Natural Resources Conservation Service, Agriculture","Miscellaneous Contributed Funds, Natural Resources Conservation Service, Agriculture",012,8210,Department of Agriculture,USDA,012,Natural Resources Conservation Service,natural-resources-conservation-service,3646,318944.36
012-8214,"Miscellaneous Contributed Funds, Agricultural Research Service, Agriculture","Miscellaneous Contributed Funds, Agricultural Research Service, Agriculture",012,8214,Department of Agriculture,USDA,012,Agricultural Research Service,agricultural-research-service,3647,61344306.43
012-8218,"Miscellaneous Contributed Funds, National Agricultural Statistics Service, Agriculture","Miscellaneous Contributed Funds, National Agricultural Statistics Service, Agriculture",012,8218,Department of Agriculture,USDA,012,National Agricultural Statistics Service,national-agricultural-statistics-service,3648,19600.0
012-8226,"Miscellaneous Contributed Funds, Animal and Plant Health Inspection Service, Agriculture","Miscellaneous Contributed Funds, Animal and Plant Health Inspection Service, Agriculture",012,8226,Department of Agriculture,USDA,012,Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,3649,29303968.94
012-8227,"Miscellaneous Contributed Funds, Economic Research Service, Agriculture","Miscellaneous Contributed Funds, Economic Research Service, Agriculture",012,8227,Department of Agriculture,USDA,012,Economic Research Service,economic-research-service,3650,
012-8232,"Miscellaneous Contributed Funds, Foreign Agricultural Service, Agriculture","Miscellaneous Contributed Funds, Foreign Agricultural Service, Agriculture",012,8232,Department of Agriculture,USDA,012,Foreign Agricultural Service,foreign-agricultural-service,3651,2408376.21
012-8505,"Foreign Service National Separation Liability Trust Fund, Foreign Agricultural Service, Agriculture","Foreign Service National Separation Liability Trust Fund, Foreign Agricultural Service, Agriculture",012,8505,Department of Agriculture,USDA,012,Foreign Agricultural Service,foreign-agricultural-service,3653,2201108.99
012-8558,"Foreign Service National Separation Liability Trust Fund, Animal and Plant Health Inspection Service, Agriculture","Foreign Service National Separation Liability Trust Fund, Animal and Plant Health Inspection Service, Agriculture",012,8558,Department of Agriculture,USDA,012,Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,3654,0.0
012-8559,"Emergency Citrus Disease Research and Development Trust Fund, National Institute of Food and Agriculture, Agriculture","Emergency Citrus Disease Research and Development Trust Fund, National Institute of Food and Agriculture, Agriculture",012,8559,Department of Agriculture,USDA,012,National Institute of Food and Agriculture,national-institute-of-food-and-agriculture,6293,51907374.15
013-0110,"Office of Inspector General - Recovery Act, Departmental Management, Commerce","Office of Inspector General - Recovery Act, Departmental Management, Commerce",013,0110,Department of Commerce,DOC,013,Departmental Management,departmental-management,3655,1354772.1
013-0120,"Salaries and Expenses, Departmental Management, Commerce","Salaries and Expenses, Departmental Management, Commerce",013,0120,Department of Commerce,DOC,013,Departmental Management,departmental-management,3657,295930952.47
013-0123,"Renovation and Modernization, Departmental Management, Commerce","Renovation and Modernization, Departmental Management, Commerce",013,0123,Department of Commerce,DOC,013,Departmental Management,departmental-management,3660,2099397.31
013-0125,"Salaries and Expenses, Economic Development Administration, Commerce","Salaries and Expenses, Economic Development Administration, Commerce",013,0125,Department of Commerce,DOC,013,Economic Development Administration,economic-development-administration,3662,138254127.94
013-0126,"Office of the Inspector General, Departmental Management, Commerce","Office of the Inspector General, Departmental Management, Commerce",013,0126,Department of Commerce,DOC,013,Departmental Management,departmental-management,3663,116648088.51
013-0133,"Nonrecurring Expenses Fund, Departmental Management, Commerce","Nonrecurring Expenses Fund, Departmental Management, Commerce",013,0133,Department of Commerce,DOC,013,Departmental Management,departmental-management,6322,87413032.51
013-0201,"Minority Business Development, Minority Business Development Agency, Commerce","Minority Business Development, Minority Business Development Agency, Commerce",013,0201,Department of Commerce,DOC,013,Minority Business Development Agency,minority-business-development-agency,3664,127708311.6
013-0300,"Operations and Administration, Bureau of Industry and Security, Commerce","Operations and Administration, Bureau of Industry and Security, Commerce",013,0300,Department of Commerce,DOC,013,Bureau of Industry and Security,bureau-of-industry-and-security,3665,266108214.4
